evalId,rodada,status,patterns,pattern_principal,fixes_aplicaveis,onda,prob_cura_pct
66babd44-1d32-4fa4-8d58-8afadcfda47d,R11,FORA_DO_ESCOPO,limitacao_real_declarada,limitacao_real_declarada,legitimo,fora,0
46b8c7de-db9b-4b37-a78e-d3953564bcbc,R11,FORA_DO_ESCOPO,limitacao_real_declarada,limitacao_real_declarada,legitimo,fora,0
fbbd389b-7df2-4fc7-9be8-554c447c2a92,R11,FORA_DO_ESCOPO,limitacao_real_declarada,limitacao_real_declarada,legitimo,fora,0
9618154c-3458-4d1f-8569-166c5585a196,R11,FORA_DO_ESCOPO,limitacao_real_declarada,limitacao_real_declarada,legitimo,fora,0
a6baecb9-0a49-4917-9534-75397cb6826f,R11,FORA_DO_ESCOPO,limitacao_real_declarada,limitacao_real_declarada,legitimo,fora,0
627742a2-1138-49ed-a786-636b5f33c655,R11,FORA_DO_ESCOPO,limitacao_real_declarada,limitacao_real_declarada,legitimo,fora,0
b134ccba-6543-4fdd-905f-10648beef7d4,R11,FORA_DO_ESCOPO,limitacao_real_declarada,limitacao_real_declarada,legitimo,fora,0
d8dbd01b-283f-422d-833d-429bc59582e1,R11,FORA_DO_ESCOPO,limitacao_real_declarada,limitacao_real_declarada,legitimo,fora,0
b1ff8634-9b0d-43f5-8abb-2c70a60d4ad8,R11,PARCIAL,acerto_objetividade,acerto_objetividade,?,?,0
5f42dabc-e586-4a78-8c76-d96f039767ab,R11,PARCIAL,acerto_objetividade,acerto_objetividade,?,?,0
13a94aed-bb24-44f3-8487-1b629731735d,R11,PARCIAL,entendeu_mal_termo,entendeu_mal_termo,"F12,F13,F14",1+2,50
15d79eeb-5fd9-4bf7-9413-9f34f15c40f7,R11,PARCIAL,resposta_truncada,resposta_truncada,"F1,F2,F3",1,70
cdb591ee-0608-43c2-9840-cc38f3a2dd6c,R11,PARCIAL,resposta_truncada,resposta_truncada,"F1,F2,F3",1,70
9d5d0889-a5b0-458e-a556-3fedc9a21e01,R11,PARCIAL,fluxo_tool_incompleto,fluxo_tool_incompleto,"F4,F5,F6,F7",1+2,50
c38b51d1-adc8-47b0-9993-89db968348bd,R11,PARCIAL,fluxo_tool_incompleto,fluxo_tool_incompleto,"F4,F5,F6,F7",1+2,50
292ca326-1fe9-4834-85be-39fa22a7f4c4,R11,PARCIAL,fluxo_tool_incompleto,fluxo_tool_incompleto,"F4,F5,F6,F7",1+2,50
96c5dd09-cae1-4607-acd2-2071660b5d57,R11,PARCIAL,entendeu_mal_termo,entendeu_mal_termo,"F12,F13,F14",1+2,50
28ac58bc-4ed0-4623-85fc-96cb00f683c6,R11,PARCIAL,fluxo_tool_incompleto,fluxo_tool_incompleto,"F4,F5,F6,F7",1+2,50
0ab9c063-249f-4e25-826f-e4455da73757,R11,PARCIAL,fluxo_tool_incompleto,fluxo_tool_incompleto,"F4,F5,F6,F7",1+2,50
0f18aa5d-76e2-4784-a24c-767e3d5662f2,R11,PARCIAL,fluxo_tool_incompleto,fluxo_tool_incompleto,"F4,F5,F6,F7",1+2,50
469f7c8c-2d26-4080-a5ff-54c13d847847,R11,PARCIAL,resposta_truncada,resposta_truncada,"F1,F2,F3",1,70
63e78069-e880-4f89-8310-a9d86d5de3e6,R11,PARCIAL,resposta_truncada,resposta_truncada,"F1,F2,F3",1,70
fbbc4377-2bba-4ba9-bdd0-3a6177198023,R11,PARCIAL,fluxo_tool_incompleto,fluxo_tool_incompleto,"F4,F5,F6,F7",1+2,50
2d17f646-cd33-43e5-8b6c-ce9fa8826910,R11,PARCIAL,entendeu_mal_termo,entendeu_mal_termo,"F12,F13,F14",1+2,50
8d3d0ab5-fb45-44ab-978d-55b155945c8b,R11,PARCIAL,fluxo_tool_incompleto,fluxo_tool_incompleto,"F4,F5,F6,F7",1+2,50
e0469fa1-24f5-4412-a391-ef1cdf1db0c4,R12,FORA_DO_ESCOPO,limitacao_real_declarada,limitacao_real_declarada,legitimo,fora,0
da380afb-f283-4a9a-b6ab-189ab765c976,R12,FORA_DO_ESCOPO,limitacao_real_declarada,limitacao_real_declarada,legitimo,fora,0
35233aa6-57f6-42de-be96-b113fff79968,R12,FORA_DO_ESCOPO,limitacao_real_declarada,limitacao_real_declarada,legitimo,fora,0
998e9bf6-1246-4080-8fc1-de7858beed19,R12,FORA_DO_ESCOPO,limitacao_real_declarada,limitacao_real_declarada,legitimo,fora,0
6d753272-44ef-4d20-a325-0d9f966244ff,R12,FORA_DO_ESCOPO,limitacao_real_declarada,limitacao_real_declarada,legitimo,fora,0
c7a5f020-4c8b-4553-80c1-062163055960,R12,FORA_DO_ESCOPO,limitacao_real_declarada,limitacao_real_declarada,legitimo,fora,0
9aa21db8-0250-4a5a-85e1-a921aea7853b,R12,FORA_DO_ESCOPO,limitacao_real_declarada,limitacao_real_declarada,legitimo,fora,0
95db4e64-2281-4e56-a699-ac874d34e19f,R12,FORA_DO_ESCOPO,limitacao_real_declarada,limitacao_real_declarada,legitimo,fora,0
7ab51bb6-740c-4b52-b301-169fe29e11b7,R12,FORA_DO_ESCOPO,limitacao_real_declarada,limitacao_real_declarada,legitimo,fora,0
c03a132a-c3c6-43e7-9b7b-f95964f1d33d,R12,PARCIAL,fluxo_tool_incompleto,fluxo_tool_incompleto,"F4,F5,F6,F7",1+2,50
fcbfeafc-d24d-4594-abb2-ec1ec506958e,R12,PARCIAL,entendeu_mal_termo,entendeu_mal_termo,"F12,F13,F14",1+2,50
c213f9b7-4b06-4523-b2ba-f518e08dd70f,R12,PARCIAL,resposta_truncada,resposta_truncada,"F1,F2,F3",1,70
1c4a9920-7ce9-4694-bbf6-d759bf09c56e,R12,PARCIAL,acerto_objetividade,acerto_objetividade,?,?,0
4d753699-902f-4f18-86e9-aaf03447671a,R12,PARCIAL,entendeu_mal_termo,entendeu_mal_termo,"F12,F13,F14",1+2,50
5cc1a4c7-b06e-4291-92ac-4164407e2f95,R12,PARCIAL,resposta_truncada,resposta_truncada,"F1,F2,F3",1,70
8e3b36eb-12fb-46a1-a724-627ceafc26f5,R12,PARCIAL,fluxo_tool_incompleto,fluxo_tool_incompleto,"F4,F5,F6,F7",1+2,50
5dec6829-cc13-46ad-9acc-d567cb8fe04c,R12,PARCIAL,fluxo_tool_incompleto,fluxo_tool_incompleto,"F4,F5,F6,F7",1+2,50
77154a18-1a9a-48d6-8a05-35991a417b9d,R12,PARCIAL,resposta_truncada,resposta_truncada,"F1,F2,F3",1,70
c713d12e-9add-41a7-8f12-aa4fac081749,R12,PARCIAL,acerto_objetividade,acerto_objetividade,?,?,0
279f21e6-d279-4e8e-9242-7ffc7138ebbf,R12,PARCIAL,fluxo_tool_incompleto,fluxo_tool_incompleto,"F4,F5,F6,F7",1+2,50
11ea8885-88fa-4d9e-8848-28588d066111,R12,PARCIAL,entendeu_mal_termo,entendeu_mal_termo,"F12,F13,F14",1+2,50
8d3f2951-a4a5-4395-9f9c-9384da2bf76d,R12,PARCIAL,fluxo_tool_incompleto,fluxo_tool_incompleto,"F4,F5,F6,F7",1+2,50
